"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 01월 11일","637.90","637.56","639.29","637.19","918.74K","0.18%"
"2017년 01월 10일","636.73","642.85","643.25","636.26","802.07K","-0.84%"
"2017년 01월 09일","642.15","645.92","645.92","642.15","667.26K","-0.24%"
"2017년 01월 06일","643.68","643.96","644.17","641.96","758.43K","0.19%"
"2017년 01월 05일","642.48","642.01","642.64","640.87","811.28K","0.42%"
"2017년 01월 04일","639.79","638.73","639.91","636.74","617.47K","0.51%"
"2017년 01월 03일","636.57","633.30","636.65","633.10","622.54K","0.72%"
"2017년 01월 02일","632.04","632.89","633.00","629.54","512.16K","0.10%"
"2016년 12월 29일","631.44","626.21","631.51","624.23","582.80K","0.66%"
"2016년 12월 28일","627.27","622.26","627.33","621.07","628.29K","1.44%"
"2016년 12월 27일","618.38","616.66","619.42","616.66","692.44K","0.52%"
"2016년 12월 26일","615.16","621.15","621.15","615.16","688.88K","-0.74%"
"2016년 12월 23일","619.75","617.14","620.47","616.30","701.66K","0.62%"
"2016년 12월 22일","615.93","619.61","620.16","615.91","873.52K","-0.44%"
"2016년 12월 21일","618.63","620.34","621.05","616.22","841.53K","0.10%"
"2016년 12월 20일","617.99","624.29","624.81","617.98","664.48K","-0.77%"
"2016년 12월 19일","622.77","624.23","624.23","620.42","648.97K","0.11%"
"2016년 12월 16일","622.08","622.52","623.04","617.93","771.34K","0.24%"
"2016년 12월 15일","620.61","610.51","620.61","610.12","597.47K","1.33%"
"2016년 12월 14일","612.47","614.59","615.71","611.48","698.08K","0.23%"
"2016년 12월 13일","611.09","604.31","611.17","601.69","638.11K","1.33%"
"2016년 12월 12일","603.08","599.10","603.12","598.40","625.82K","1.47%"
"2016년 12월 09일","594.35","585.80","594.53","585.24","603.17K","1.66%"
"2016년 12월 08일","584.62","581.88","586.46","581.11","672.42K","1.05%"
"2016년 12월 07일","578.52","584.12","584.88","573.54","601.71K","-0.49%"
"2016년 12월 06일","581.35","578.18","583.23","578.18","546.04K","1.08%"
"2016년 12월 05일","575.12","584.56","584.62","575.12","620.84K","-1.98%"
"2016년 12월 02일","586.73","593.21","593.45","586.73","554.18K","-1.20%"
"2016년 12월 01일","593.85","596.52","596.89","591.64","635.17K","-0.38%"
"2016년 11월 30일","596.11","597.38","597.49","594.13","560.83K","0.01%"
"2016년 11월 29일","596.07","592.55","597.29","590.84","802.67K","0.51%"
"2016년 11월 28일","593.05","599.41","600.13","593.05","551.35K","-0.80%"
"2016년 11월 25일","597.82","592.60","597.87","591.17","535.64K","0.87%"
"2016년 11월 24일","592.65","600.49","603.13","590.49","603.32K","-1.27%"
"2016년 11월 23일","600.29","612.36","612.41","599.89","622.22K","-1.71%"
"2016년 11월 22일","610.74","612.42","614.79","608.67","649.05K","0.23%"
"2016년 11월 21일","609.33","618.63","618.63","609.10","628.63K","-1.76%"
"2016년 11월 18일","620.26","628.72","628.72","619.58","619.86K","-1.19%"
"2016년 11월 17일","627.76","629.05","629.08","624.52","666.42K","-0.01%"
"2016년 11월 16일","627.83","620.81","627.83","620.81","601.59K","1.68%"
"2016년 11월 15일","617.43","621.82","623.20","616.53","532.45K","-0.61%"
"2016년 11월 14일","621.23","622.60","623.01","620.38","478.29K","-0.11%"
"2016년 11월 11일","621.89","622.45","625.46","618.38","515.27K","-0.22%"
"2016년 11월 10일","623.23","615.16","623.23","614.86","624.34K","3.92%"
"2016년 11월 09일","599.74","626.53","627.02","581.64","1.07M","-3.92%"
"2016년 11월 08일","624.19","626.39","626.50","621.35","534.25K","0.32%"
"2016년 11월 07일","622.17","614.93","622.17","614.93","530.28K","1.86%"
"2016년 11월 04일","610.82","610.07","611.76","605.78","505.83K","0.14%"
"2016년 11월 03일","609.99","602.33","613.57","602.31","494.00K","0.65%"
"2016년 11월 02일","606.06","624.46","624.58","606.04","632.69K","-3.24%"
"2016년 11월 01일","626.38","621.69","631.20","621.69","595.63K","0.27%"
"2016년 10월 31일","624.68","638.62","638.62","623.37","558.28K","-2.42%"
"2016년 10월 28일","640.17","648.90","648.93","640.16","505.76K","-1.30%"
"2016년 10월 27일","648.57","636.47","648.66","636.47","468.34K","2.06%"
"2016년 10월 26일","635.51","638.07","639.00","626.66","729.25K","-0.73%"
"2016년 10월 25일","640.17","648.40","649.02","636.40","629.44K","-1.19%"
"2016년 10월 24일","647.88","654.01","654.80","647.34","561.06K","-0.60%"
