"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 08월 29일","18.866","17.422","17.422","17.422","0.00K","-0.06%"
"2017년 08월 28일","18.877","17.431","17.431","17.431","99.64K","10.77%"
"2017년 08월 27일","17.042","17.069","17.216","17.040","-","-7.76%"
"2017년 08월 25일","18.476","17.038","17.038","17.038","0.07K","0.48%"
"2017년 08월 24일","18.388","17.055","17.060","17.055","0.05K","-0.43%"
"2017년 08월 23일","18.467","17.032","17.032","17.032","0.04K","0.28%"
"2017년 08월 22일","18.416","16.962","16.962","16.962","0.02K","-0.20%"
"2017년 08월 21일","18.453","16.995","16.995","16.995","0.02K","9.22%"
"2017년 08월 20일","16.896","16.939","16.944","16.829","-","-8.40%"
"2017년 08월 18일","18.445","16.980","16.980","16.980","0.03K","-0.30%"
"2017년 08월 17일","18.500","17.130","17.130","16.990","0.06K","0.63%"
"2017년 08월 16일","18.385","16.695","17.065","16.695","0.03K","1.24%"
"2017년 08월 15일","18.160","16.690","16.690","16.690","0.02K","-2.19%"
"2017년 08월 14일","18.567","17.055","17.115","16.990","0.06K","8.73%"
"2017년 08월 13일","17.076","17.104","17.110","17.064","-","-7.78%"
"2017년 08월 11일","18.516","17.095","17.105","17.020","0.05K","0.01%"
"2017년 08월 10일","18.514","16.945","17.210","16.945","0.17K","1.13%"
"2017년 08월 09일","18.308","16.505","16.850","16.475","0.09K","2.64%"
"2017년 08월 08일","17.837","16.365","16.420","16.340","0.04K","0.75%"
"2017년 08월 07일","17.704","16.200","16.235","16.090","0.00K","9.12%"
"2017년 08월 06일","16.225","16.267","16.267","16.225","-","-8.40%"
"2017년 08월 04일","17.712","16.265","16.265","16.205","0.00K","-2.14%"
"2017년 08월 03일","18.099","16.594","16.594","16.594","57.97K","-0.58%"
"2017년 08월 02일","18.205","16.697","16.697","16.697","0.01K","-0.17%"
"2017년 08월 01일","18.236","16.635","16.785","16.635","0.04K","-0.13%"
"2017년 07월 31일","18.259","16.735","16.825","16.730","0.28K","8.86%"
"2017년 07월 30일","16.773","16.757","16.787","16.752","-","-7.67%"
"2017년 07월 28일","18.166","16.495","16.690","16.490","0.08K","0.68%"
"2017년 07월 27일","18.043","16.625","16.650","16.625","0.01K","0.82%"
"2017년 07월 26일","17.897","16.400","16.610","16.365","0.10K","-0.47%"
"2017년 07월 25일","17.981","16.410","16.410","16.265","0.03K","0.56%"
"2017년 07월 24일","17.880","16.415","16.465","16.355","0.12K","8.34%"
"2017년 07월 23일","16.504","16.500","16.506","16.448","-","-7.76%"
"2017년 07월 21일","17.893","16.250","16.440","16.250","0.07K","0.62%"
"2017년 07월 20일","17.782","16.180","16.325","16.135","0.07K","0.26%"
"2017년 07월 19일","17.736","16.140","16.250","16.130","0.05K","0.14%"
"2017년 07월 18일","17.711","16.025","16.255","16.025","0.10K","0.96%"
"2017년 07월 17일","17.542","16.100","16.110","16.040","0.06K","9.49%"
"2017년 07월 16일","16.022","15.966","16.024","15.947","-","-7.78%"
"2017년 07월 14일","17.374","15.635","15.965","15.585","0.06K","1.41%"
"2017년 07월 13일","17.132","15.890","15.890","15.640","0.02K","-1.15%"
"2017년 07월 12일","17.331","15.770","15.875","15.760","0.06K","0.83%"
"2017년 07월 11일","17.189","15.575","15.760","15.400","0.16K","0.63%"
"2017년 07월 10일","17.081","15.540","15.615","15.150","0.29K","9.57%"
"2017년 07월 09일","15.589","15.597","15.604","15.538","-","-7.64%"
"2017년 07월 07일","16.878","15.960","15.965","15.300","0.30K","-3.22%"
"2017년 07월 06일","17.440","15.995","16.000","15.885","0.19K","0.50%"
"2017년 07월 05일","17.354","16.100","16.100","15.835","0.62K","7.62%"
"2017년 07월 04일","16.126","16.152","16.169","16.013","-","-8.13%"
"2017년 07월 03일","17.553","16.580","16.580","16.030","0.43K","5.79%"
"2017년 07월 02일","16.593","16.601","16.613","16.583","-","-8.28%"
"2017년 06월 30일","18.090","16.590","16.630","16.440","1.34K","-0.14%"
"2017년 06월 29일","18.116","16.770","16.860","16.555","17.57K","-0.75%"
"2017년 06월 28일","18.253","16.745","16.745","16.685","0.01K","0.77%"
"2017년 06월 27일","18.113","16.576","16.576","16.576","51.95K","0.10%"
"2017년 06월 26일","18.095","16.425","16.555","16.425","0.00K","8.48%"
"2017년 06월 25일","16.680","16.685","16.720","16.655","-","-8.21%"
"2017년 06월 23일","18.171","16.650","16.650","16.650","0.00K","0.74%"
"2017년 06월 22일","18.038","16.440","16.440","16.440","0.00K","0.78%"
"2017년 06월 21일","17.899","16.460","16.470","16.330","0.02K","-0.24%"
"2017년 06월 20일","17.942","16.470","16.570","16.375","0.05K","-0.49%"
"2017년 06월 19일","18.030","16.510","16.530","16.500","0.01K","8.17%"
"2017년 06월 18일","16.668","16.649","16.669","16.642","-","-8.32%"
"2017년 06월 16일","18.180","16.735","16.735","16.695","0.00K","-0.36%"
"2017년 06월 15일","18.246","16.630","16.730","16.630","0.01K","-2.29%"
"2017년 06월 14일","18.674","16.840","17.180","16.840","0.08K","2.02%"
"2017년 06월 13일","18.304","16.915","16.915","16.765","0.04K","-0.95%"
"2017년 06월 12일","18.480","17.115","17.115","17.005","0.01K","7.77%"
"2017년 06월 11일","17.147","17.165","17.178","17.119","-","-8.60%"
"2017년 06월 09일","18.760","17.455","17.455","17.175","0.03K","-0.97%"
"2017년 06월 08일","18.943","17.595","17.605","17.365","0.02K","-1.08%"
"2017년 06월 07일","19.149","17.625","17.690","17.510","0.10K","-0.43%"
"2017년 06월 06일","19.232","17.510","17.695","17.510","0.02K","0.68%"
"2017년 06월 05일","19.103","17.545","17.600","17.545","0.01K","8.70%"
"2017년 06월 04일","17.574","17.548","17.593","17.533","-","-7.73%"
"2017년 06월 02일","19.047","17.205","17.505","17.120","0.25K","1.30%"
"2017년 06월 01일","18.803","17.300","17.305","17.025","0.00K","-0.71%"
"2017년 05월 31일","18.938","17.210","17.340","17.210","0.05K","-0.12%"
"2017년 05월 30일","18.960","17.335","17.400","17.210","0.88K","9.02%"
"2017년 05월 29일","17.392","17.385","17.449","17.330","-","0.01%"
"2017년 05월 28일","17.390","17.348","17.394","17.348","-","-7.80%"
"2017년 05월 26일","18.861","17.105","17.310","17.100","0.03K","0.70%"
"2017년 05월 25일","18.730","17.165","17.190","17.150","0.09K","0.41%"
"2017년 05월 24일","18.654","16.990","17.075","16.990","0.02K","-0.12%"
"2017년 05월 23일","18.677","17.080","17.230","17.010","0.07K","-0.27%"
"2017년 05월 22일","18.727","17.143","17.143","17.143","0.00K","10.22%"
"2017년 05월 21일","16.990","16.873","17.145","16.857","-","-7.32%"
"2017년 05월 19일","18.331","16.525","16.775","16.525","0.07K","0.68%"
"2017년 05월 18일","18.208","16.700","16.705","16.510","0.06K","-1.28%"
"2017년 05월 17일","18.444","18.500","18.500","18.500","0.00K","0.90%"
"2017년 05월 16일","18.280","16.580","16.775","16.580","0.05K","0.82%"
"2017년 05월 15일","18.132","16.435","16.735","16.425","0.08K","10.08%"
"2017년 05월 14일","16.471","16.467","16.505","16.467","-","-8.17%"
"2017년 05월 12일","17.937","16.285","16.405","16.280","0.04K","0.76%"
"2017년 05월 11일","17.801","16.155","16.315","16.155","0.07K","0.32%"
"2017년 05월 10일","17.744","16.145","16.235","16.100","0.13K","0.78%"
"2017년 05월 09일","17.606","16.145","16.185","16.030","0.09K","-1.11%"
"2017년 05월 08일","17.803","16.260","16.395","16.200","0.15K","7.96%"
"2017년 05월 07일","16.490","16.311","16.491","16.311","-","-7.46%"
"2017년 05월 05일","17.819","16.290","16.465","16.195","0.19K","-0.16%"
"2017년 05월 04일","17.848","16.425","16.550","16.210","0.68K","-1.37%"
"2017년 05월 03일","18.095","16.800","16.835","16.420","1.23K","-1.58%"
"2017년 05월 02일","18.385","16.855","16.955","16.755","0.54K","-0.07%"
"2017년 05월 01일","18.398","17.185","17.215","16.760","1.44K","6.38%"
"2017년 04월 30일","17.295","17.264","17.311","17.264","-","-8.11%"
"2017년 04월 28일","18.822","17.225","17.375","17.130","1.54K","-0.38%"
"2017년 04월 27일","18.894","17.460","17.470","17.205","35.74K","-0.53%"
"2017년 04월 26일","18.994","17.353","17.353","17.353","67.57K","-1.18%"
"2017년 04월 25일","19.221","17.575","17.575","17.560","0.03K","-1.33%"
"2017년 04월 24일","19.481","17.848","17.848","17.848","46.78K","8.77%"
"2017년 04월 23일","17.910","17.850","17.910","17.680","-","-8.05%"
"2017년 04월 21일","19.479","17.985","17.990","17.855","0.04K","-0.81%"
"2017년 04월 20일","19.638","17.992","17.992","17.992","41.78K","-0.65%"
"2017년 04월 19일","19.766","18.136","18.136","18.136","0.07K","-0.54%"
"2017년 04월 18일","19.873","18.251","18.251","18.251","36.12K","-1.26%"
"2017년 04월 17일","20.127","18.430","18.435","18.430","0.01K","8.09%"
"2017년 04월 16일","18.620","18.580","18.630","18.560","-","0.40%"
"2017년 04월 14일","18.545","18.545","18.545","18.545","-","-7.84%"
"2017년 04월 13일","20.122","18.475","18.500","18.470","0.01K","1.05%"
"2017년 04월 12일","19.913","18.320","18.390","18.320","0.14K","0.24%"
"2017년 04월 11일","19.865","18.040","18.290","18.040","0.02K","1.69%"
"2017년 04월 10일","19.535","17.820","17.830","17.750","0.06K","8.58%"
"2017년 04월 09일","17.992","17.992","18.023","17.930","-","-9.01%"
"2017년 04월 07일","19.773","18.350","18.425","18.350","0.01K","-0.41%"
"2017년 04월 06일","19.854","18.170","18.170","18.170","0.14K","0.25%"
"2017년 04월 05일","19.804","18.215","18.215","18.165","0.03K","-0.69%"
"2017년 04월 04일","19.941","18.302","18.302","18.302","0.01K","0.68%"
"2017년 04월 03일","19.806","18.220","18.220","18.200","0.02K","8.60%"
"2017년 04월 02일","18.237","18.280","18.280","18.237","-","-8.17%"
"2017년 03월 31일","19.860","18.120","18.120","18.115","0.02K","0.25%"
"2017년 03월 30일","19.810","18.160","18.250","18.160","0.06K","-0.18%"
"2017년 03월 29일","19.846","18.228","18.228","18.228","0.00K","-0.01%"
"2017년 03월 28일","19.847","18.145","18.185","18.140","0.07K","0.74%"
"2017년 03월 27일","19.701","18.100","18.100","18.100","0.01K","10.34%"
"2017년 03월 26일","17.855","17.800","17.883","17.800","-","-7.68%"
"2017년 03월 24일","19.340","17.720","17.720","17.720","0.24K","0.81%"
"2017년 03월 23일","19.184","17.575","17.575","17.575","0.03K","0.07%"
"2017년 03월 22일","19.170","17.550","17.550","17.540","0.01K","-0.04%"
"2017년 03월 21일","19.178","17.335","17.530","17.335","0.02K","0.80%"
"2017년 03월 20일","19.025","17.425","17.425","17.355","0.08K","9.16%"
"2017년 03월 19일","17.428","17.415","17.430","17.398","-","-8.27%"
"2017년 03월 17일","18.999","17.300","17.360","17.280","0.06K","0.57%"
"2017년 03월 16일","18.891","17.390","17.470","17.255","0.23K","2.25%"
"2017년 03월 15일","18.475","16.900","17.220","16.820","0.12K","0.01%"
"2017년 03월 14일","18.474","16.925","16.960","16.910","0.09K","-0.26%"
"2017년 03월 13일","18.523","16.975","17.090","16.940","0.21K","8.85%"
"2017년 03월 12일","17.017","17.050","17.062","17.000","-","-7.89%"
"2017년 03월 10일","18.474","16.925","17.050","16.835","0.17K","-0.66%"
"2017년 03월 09일","18.597","18.055","18.055","18.055","0.00K","-1.48%"
"2017년 03월 08일","18.877","17.485","17.500","17.210","0.89K","-1.19%"
"2017년 03월 07일","19.105","17.720","17.720","17.465","0.36K","-1.24%"
"2017년 03월 06일","19.344","17.900","17.900","17.700","0.30K","7.60%"
"2017년 03월 05일","17.977","17.980","17.980","17.938","-","-6.96%"
"2017년 03월 03일","19.321","17.790","17.945","17.625","0.45K","-0.14%"
"2017년 03월 02일","19.349","18.405","18.405","17.690","0.90K","-3.66%"
"2017년 03월 01일","20.084","18.295","18.455","18.250","0.99K","0.11%"
"2017년 02월 28일","20.061","19.725","19.725","19.725","0.00K","0.26%"
"2017년 02월 27일","20.009","18.355","18.475","18.205","24.87K","8.82%"
"2017년 02월 26일","18.388","18.420","18.430","18.383","-","-8.06%"
"2017년 02월 24일","20.000","18.335","18.335","18.335","2.85K","1.12%"
"2017년 02월 23일","19.778","18.055","18.110","18.055","0.07K","0.83%"
"2017년 02월 22일","19.616","17.942","17.942","17.942","3.83K","-0.27%"
"2017년 02월 21일","19.670","17.990","18.050","17.960","0.19K","9.02%"
"2017년 02월 20일","18.043","18.002","18.060","17.910","-","0.23%"
"2017년 02월 19일","18.002","17.990","18.027","17.980","-","-8.58%"
"2017년 02월 17일","19.691","18.005","18.050","18.005","0.18K","-0.24%"
